"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"NC","Hispanic","less than $20,000","Male","Male.Hispanic","18-29","less than a high school education","November","2013","Kaiser"
1,"LA","Black","$40,000-$75,000","Male","Male.Black","30-44","less than a high school education","November","2013","Kaiser"
1,"NE","White","$75,000+","Male","Male.White","65+","high school graduate","November","2013","Kaiser"
1,"ND","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","November","2013","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","18-29","college graduate","November","2013","Kaiser"
0,"MN","White","less than $20,000","Female","Female.White","65+","less than a high school education","November","2013","Kaiser"
0,"AL","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"KY","White","$20,000-$40,000","Male","Male.White","18-29","high school graduate","November","2013","Kaiser"
0,"FL","Other","less than $20,000","Female","Female.Other","18-29","less than a high school education","November","2013","Kaiser"
1,"CT","White","$75,000+","Female","Female.White","30-44","postgraduate","November","2013","Kaiser"
0,"KS","Other","$75,000+","Female","Female.Other","65+","college graduate","November","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","18-29","high school graduate","November","2013","Kaiser"
1,"ID","White","less than $20,000","Male","Male.White","18-29","some college","November","2013","Kaiser"
1,"MO","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","November","2013","Kaiser"
0,"OH","White","$75,000+","Female","Female.White","45-64","postgraduate","November","2013","Kaiser"
1,"LA","Black","less than $20,000","Male","Male.Black","45-64","high school graduate","November","2013","Kaiser"
1,"AZ","White","$40,000-$75,000","Female","Female.White","30-44","some college","November","2013","Kaiser"
0,"SC","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"ME","White","less than $20,000","Male","Male.White","30-44","college graduate","November","2013","Kaiser"
0,"MI","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","November","2013","Kaiser"
1,"MO","White","$75,000+","Male","Male.White","30-44","college graduate","November","2013","Kaiser"
1,"PA","Other","less than $20,000","Female","Female.Other","30-44","some college","November","2013","Kaiser"
0,"SD","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","November","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Male","Male.White","18-29","college graduate","November","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Male","Male.Hispanic","18-29","less than a high school education","November","2013","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"GA","White","$20,000-$40,000","Female","Female.White","45-64","some college","November","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"GA","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","November","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Male","Male.Hispanic","18-29","less than a high school education","November","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Female","Female.White","18-29","high school graduate","November","2013","Kaiser"
1,"FL","Hispanic","less than $20,000","Male","Male.Hispanic","65+","high school graduate","November","2013","Kaiser"
0,"MN","Other","$75,000+","Male","Male.Other","45-64","some college","November","2013","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","college graduate","November","2013","Kaiser"
0,"OR","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
1,"WA","Hispanic","$75,000+","Female","Female.Hispanic","30-44","postgraduate","November","2013","Kaiser"
