"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
0,"TX","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
1,"LA","Hispanic","less than $20,000","Female","30-44","some college","August","2013","Kaiser"
1,"MO","Black","less than $20,000","Female","45-64","less than a high school education","August","2013","Kaiser"
1,"MO","White","less than $20,000","Female","18-29","college graduate","August","2013","Kaiser"
NA,"IL","Other","$20,000-$40,000","Male","18-29","some college","August","2013","Kaiser"
1,"NH","White","$20,000-$40,000","Male","18-29","postgraduate","August","2013","Kaiser"
0,"IL","White","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
NA,"TX","Black","$20,000-$40,000","Male","18-29","high school graduate","August","2013","Kaiser"
0,"AL","Black","$40,000-$75,000","Female","18-29","postgraduate","August","2013","Kaiser"
0,"TX","White",NA,"Female","18-29","some college","August","2013","Kaiser"
0,"TN","White","$40,000-$75,000","Female","45-64","postgraduate","August","2013","Kaiser"
0,"AR","White","$40,000-$75,000","Male","30-44","college graduate","August","2013","Kaiser"
0,"AK","White","$40,000-$75,000","Female","30-44","postgraduate","August","2013","Kaiser"
1,"TX","Hispanic","$40,000-$75,000","Female","30-44","postgraduate","August","2013","Kaiser"
1,"CA","Other","$20,000-$40,000","Male","18-29","college graduate","August","2013","Kaiser"
0,"HI","Other","$75,000+","Female","30-44","postgraduate","August","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","45-64","some college","August","2013","Kaiser"
0,"CA","Hispanic","$40,000-$75,000","Male","30-44","college graduate","August","2013","Kaiser"
1,"CA","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
1,"CA","White","$75,000+","Female","30-44","college graduate","August","2013","Kaiser"
1,"CA","White","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
0,"CA","Other","less than $20,000","Male","18-29","high school graduate","August","2013","Kaiser"
0,"WA","Other","$20,000-$40,000","Female","45-64","postgraduate","August","2013","Kaiser"
NA,"CA","Black","$20,000-$40,000","Female","18-29","college graduate","August","2013","Kaiser"
0,"AZ","White","$40,000-$75,000","Male","65+","high school graduate","August","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","30-44","some college","August","2013","Kaiser"
1,"CA","Other","$75,000+","Male","18-29","college graduate","August","2013","Kaiser"
0,"CA","White","$75,000+","Female","65+","postgraduate","August","2013","Kaiser"
0,"WA","White","$75,000+","Male","45-64","some college","August","2013","Kaiser"
NA,"CA","Hispanic","$20,000-$40,000","Male","18-29","some college","August","2013","Kaiser"
0,"CA","White","less than $20,000","Female","18-29","some college","August","2013","Kaiser"
1,"CA","Black","$20,000-$40,000","Male","30-44","some college","August","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Male","30-44","high school graduate","August","2013","Kaiser"
0,"CA","White",NA,"Female","65+","college graduate","August","2013","Kaiser"
1,"CA","Black","$75,000+","Female","30-44","postgraduate","August","2013","Kaiser"
1,"VA","White",NA,"Female","65+","less than a high school education","August","2013","Kaiser"
0,"IN","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
NA,"PA","White","$20,000-$40,000","Male","65+","college graduate","August","2013","Kaiser"
0,"TX","White",NA,"Female","45-64","college graduate","August","2013","Kaiser"
0,"SC","Hispanic","$20,000-$40,000","Female","30-44","some college","August","2013","Kaiser"
1,"PA","White","$75,000+","Male","65+","college graduate","August","2013","Kaiser"
1,"WI","White","$75,000+","Female","65+","college graduate","August","2013","Kaiser"
NA,"IL","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
NA,"MS","White","$75,000+","Female","65+","postgraduate","August","2013","Kaiser"
0,"AL","White","$20,000-$40,000","Male","30-44","less than a high school education","August","2013","Kaiser"
NA,"IL","Hispanic","$20,000-$40,000","Male","18-29","college graduate","August","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Female","45-64","high school graduate","August","2013","Kaiser"
NA,"WI","White","$40,000-$75,000","Female","65+","high school graduate","August","2013","Kaiser"
0,"MT","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
1,"NY","White",NA,"Female","65+","less than a high school education","August","2013","Kaiser"
0,"TX","White","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
1,"TX","Hispanic","$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"CA","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
0,"TX","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","August","2013","Kaiser"
1,"FL","Black","less than $20,000","Male","65+","some college","August","2013","Kaiser"
NA,"WI","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
NA,"OR","White","$20,000-$40,000","Female","30-44","college graduate","August","2013","Kaiser"
0,"CA","White","less than $20,000","Female","18-29","some college","August","2013","Kaiser"
NA,"AR","White","$40,000-$75,000","Male","18-29","postgraduate","August","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Male","18-29","some college","August","2013","Kaiser"
1,"VT","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Female","45-64","high school graduate","August","2013","Kaiser"
NA,"TX","Other","less than $20,000","Male","30-44","some college","August","2013","Kaiser"
1,"MN","White","$75,000+","Male","45-64","some college","August","2013","Kaiser"
1,"AZ","White","$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
0,"IN","Black","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Female","45-64","high school graduate","August","2013","Kaiser"
1,"NE","White","$75,000+","Male","65+","high school graduate","August","2013","Kaiser"
1,"IL","Black","$40,000-$75,000","Male","45-64","some college","August","2013","Kaiser"
0,"MO","White",NA,"Female","65+","some college","August","2013","Kaiser"
1,"MN","White","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
NA,"MT","White",NA,"Male","30-44","high school graduate","August","2013","Kaiser"
1,"CA","White","$75,000+","Female","65+","postgraduate","August","2013","Kaiser"
NA,"OR","White","less than $20,000","Female","45-64","some college","August","2013","Kaiser"
NA,"NV","White","$40,000-$75,000","Male","65+","high school graduate","August","2013","Kaiser"
0,"OR","White","$75,000+","Male","45-64","high school graduate","August","2013","Kaiser"
0,"FL","White","$75,000+","Male","65+","high school graduate","August","2013","Kaiser"
0,"NH",NA,"$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
0,"SC","Hispanic","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"DE","White","$20,000-$40,000","Male","65+","some college","August","2013","Kaiser"
0,"NY","White","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
1,"KY","White","less than $20,000","Male","45-64","less than a high school education","August","2013","Kaiser"
0,"VA","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
0,"SC","White","$40,000-$75,000","Male","45-64","postgraduate","August","2013","Kaiser"
NA,"NY","White","$75,000+","Female","45-64","postgraduate","August","2013","Kaiser"
0,"MD","White","less than $20,000","Female","18-29","high school graduate","August","2013","Kaiser"
0,"MD","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
1,"PA","White","$20,000-$40,000","Male","65+","high school graduate","August","2013","Kaiser"
1,"WV","White","$40,000-$75,000","Female","65+","postgraduate","August","2013","Kaiser"
1,"MN","White","less than $20,000","Male","45-64","some college","August","2013","Kaiser"
NA,"MO","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
0,"MI","White",NA,"Male","65+",NA,"August","2013","Kaiser"
NA,"AR","White","$40,000-$75,000","Male","65+","some college","August","2013","Kaiser"
NA,"TN","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
0,"GA","Black","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
NA,"ME","White","$20,000-$40,000","Female","45-64","high school graduate","August","2013","Kaiser"
0,"MI","White","$75,000+","Male","45-64","high school graduate","August","2013","Kaiser"
1,"DC","Black","$20,000-$40,000","Male","45-64","high school graduate","August","2013","Kaiser"
1,"IN","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
NA,"MN","White",NA,"Male","45-64","less than a high school education","August","2013","Kaiser"
0,"MO","White","$20,000-$40,000","Male","45-64","high school graduate","August","2013","Kaiser"
1,"TX","White","less than $20,000","Male","45-64","some college","August","2013","Kaiser"
1,"NC","White","$40,000-$75,000","Female","65+","college graduate","August","2013","Kaiser"
NA,"OK","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
1,"AR","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
NA,"MS","White","$75,000+","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"DC","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
1,"MO","White","$40,000-$75,000","Female","30-44","high school graduate","August","2013","Kaiser"
0,"GA","White","$40,000-$75,000","Female","65+","postgraduate","August","2013","Kaiser"
0,"WV","White",NA,"Male","45-64","high school graduate","August","2013","Kaiser"
0,"NJ","Hispanic","less than $20,000","Female","45-64","postgraduate","August","2013","Kaiser"
0,"AR","White","$20,000-$40,000","Male","65+","high school graduate","August","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Female","45-64",NA,"August","2013","Kaiser"
0,"OH","White",NA,"Male","65+","postgraduate","August","2013","Kaiser"
NA,"OH","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Male","30-44","some college","August","2013","Kaiser"
1,"FL","White","$75,000+","Male","65+","some college","August","2013","Kaiser"
0,"CO","White","$20,000-$40,000","Male","45-64","high school graduate","August","2013","Kaiser"
0,"FL","White","less than $20,000","Female","30-44","high school graduate","August","2013","Kaiser"
0,"UT","White","$75,000+","Female","30-44","high school graduate","August","2013","Kaiser"
1,"OH","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
0,"TN","White","$20,000-$40,000","Male","45-64","postgraduate","August","2013","Kaiser"
NA,"AR","White","$20,000-$40,000","Female","18-29","college graduate","August","2013","Kaiser"
0,"ID","White","$20,000-$40,000","Female","30-44","high school graduate","August","2013","Kaiser"
0,"VT","White","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
NA,"MI","White","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
1,"TX","Hispanic","$75,000+","Female","45-64","postgraduate","August","2013","Kaiser"
0,"CO","White","$40,000-$75,000","Female","30-44","college graduate","August","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Male","45-64","high school graduate","August","2013","Kaiser"
0,"KS","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
1,"NJ","Hispanic","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
1,"FL","White","$20,000-$40,000","Female","45-64","high school graduate","August","2013","Kaiser"
0,"IL","White","$40,000-$75,000","Male","30-44","some college","August","2013","Kaiser"
1,"MN","Hispanic","$40,000-$75,000","Male","45-64","postgraduate","August","2013","Kaiser"
0,"NC","Other","$20,000-$40,000","Male","45-64","some college","August","2013","Kaiser"
1,"NJ","White","less than $20,000","Male","45-64","some college","August","2013","Kaiser"
1,"MD","Other","$75,000+","Female","65+","college graduate","August","2013","Kaiser"
0,"PA","White",NA,"Male","18-29","some college","August","2013","Kaiser"
1,"NY","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","August","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Female","65+","college graduate","August","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
0,"GA","Hispanic","$75,000+","Male","30-44","some college","August","2013","Kaiser"
1,"NC","White","$75,000+","Female","65+","some college","August","2013","Kaiser"
0,"WA","White","$75,000+","Male","30-44","some college","August","2013","Kaiser"
0,"AZ","White","$40,000-$75,000","Female","65+","high school graduate","August","2013","Kaiser"
0,"PA","White",NA,"Male","45-64","college graduate","August","2013","Kaiser"
1,"WA","Hispanic","$40,000-$75,000","Female","45-64","less than a high school education","August","2013","Kaiser"
NA,"MD","White","$40,000-$75,000","Male","65+","postgraduate","August","2013","Kaiser"
1,"OR","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"KY","Black",NA,"Male","65+","high school graduate","August","2013","Kaiser"
0,"NV",NA,"less than $20,000","Male",NA,"less than a high school education","August","2013","Kaiser"
0,"FL","White","$75,000+","Female","65+","postgraduate","August","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","18-29","some college","August","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Female","18-29","some college","August","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
1,"NY","White","$75,000+","Female","45-64","postgraduate","August","2013","Kaiser"
1,"SC","Black","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"GA","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"GA","White","$20,000-$40,000","Male","30-44","college graduate","August","2013","Kaiser"
1,"OH","White","$20,000-$40,000","Male","65+","high school graduate","August","2013","Kaiser"
0,"WV","White","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
1,"NJ","White","$20,000-$40,000","Male","65+","less than a high school education","August","2013","Kaiser"
1,"NY","White","$75,000+","Female","30-44","postgraduate","August","2013","Kaiser"
1,"NH","White","$40,000-$75,000","Female","65+","college graduate","August","2013","Kaiser"
NA,"NJ","Hispanic","less than $20,000","Female","45-64","less than a high school education","August","2013","Kaiser"
1,"FL","White","less than $20,000","Female","65+","high school graduate","August","2013","Kaiser"
NA,"CT","White",NA,"Male","30-44","college graduate","August","2013","Kaiser"
0,"WV","White",NA,"Female","65+","high school graduate","August","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"NC","Black","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
1,"ME","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
0,"WV","White","$20,000-$40,000","Male","30-44","some college","August","2013","Kaiser"
